Ensembl,Mouse_Uniprot,Human_Ortholog,Human_Uniprot,SILAC_adrenal_gland,SILAC_brain_cortex,SILAC_brown_adipose_tissue,SILAC_cerebellum,SILAC_duodenum,SILAC_embryonic_tissue,SILAC_eye,SILAC_heart,SILAC_kidney,SILAC_large_intestine,SILAC_liver,SILAC_lung,SILAC_ovary,SILAC_pancreas,SILAC_skeletal_muscle,SILAC_spleen,SILAC_stomach,SILAC_subcutaneous_adipose_tissue,SILAC_thymus,SILAC_uterus,TPM_adrenal_gland,TPM_brain_cortex,TPM_brown_adipose_tissue,TPM_cerebellum,TPM_duodenum,TPM_embryonic_tissue,TPM_eye,TPM_heart,TPM_kidney,TPM_large_intestine,TPM_liver,TPM_lung,TPM_ovary,TPM_pancreas,TPM_skeletal_muscle,TPM_spleen,TPM_stomach,TPM_subcutaneous_adipose_tissue,TPM_thymus,TPM_uterus
ENSMUSG00000033208,P50114,ENSG00000160307,P04271,-3.019207105,2.761237126,0.137074497,2.956674261,-2.550394433,-1.996119456,1.400324456,-2.054392775,-3.974401535,-4.856483831,-4.164077563,-3.741547986,-1.684398995,-4.158628738,-0.542508853,-5.896380925,-2.217267734,-2.984602713,-2.95478274,-3.202994453,0.000215556,5.540365796,6.942977632,7.349653879,-0.146688811,-1.919202029,5.054902663,0.936129718,-1.013608812,-0.2153117,-5.286007146,-0.110943346,1.482394483,-0.148392137,0.411923685,-2.016807281,0.515205719,1.732104009,-1.550619655,-1.65349326
ENSMUSG00000037060,Q91VJ2,ENSG00000170955,Q969G5,0.168226552,-1.132627076,0.823835413,-2.718544965,0.919308591,NA,-0.874150384,2.403493071,-1.278863925,-0.633037662,-3.927250034,1.079743326,1.36958255,0.165580964,0.663953548,-1.429137114,3.214391927,4.319184536,-0.582363821,3.324712254,2.961549848,-1.229967069,0.145452466,-0.610122158,1.161495157,-1.128866366,2.344359635,0.073139089,-0.260722124,-0.093088543,-3.383008087,1.267951772,3.361957866,0.925006741,-0.713735329,1.390052938,2.986037498,3.44963409,-1.257817638,3.682478636
ENSMUSG00000004951,P14602,ENSG00000106211,P04792,-0.628906026,-1.914063113,0.522078028,-3.387221895,0.430396037,-2.438652419,4.284120701,3.443103392,-1.465372054,-0.987738331,-3.753592709,0.657582793,-0.160435355,-1.581144147,3.180532155,-1.64132129,2.997980767,0.582148356,-1.060745588,1.425869233,3.358724978,-7.457171565,1.766523865,-2.125702189,2.017385289,-6.810065181,4.106765938,3.174007428,-0.330703789,0.679845929,-1.169843031,2.833928135,2.37977743,4.58420078,-2.182668732,0.178133948,5.78741762,1.509429404,-0.214588993,5.218709694
ENSMUSG00000019577,O70571,ENSG00000004799,Q16654,-0.694007703,-3.034012174,3.542753461,-4.886023662,-3.815540631,-4.070620725,-1.234465048,0.804238524,-3.462282089,-3.701759375,-3.658293197,-4.117380002,NA,-2.442392791,0.194125463,-4.601000837,NA,-1.897173659,-2.504404675,-3.225821025,2.840959054,-0.400792111,7.076032376,-1.309478883,-0.045547343,-2.815746696,-0.006400131,4.210721234,0.849129416,-2.419978661,-0.276354987,0.307022611,-0.340843373,3.063558328,6.100772508,-0.003381958,0.525484994,2.062518042,0.003374049,-0.176709529
ENSMUSG00000068748,B9EKR1,ENSG00000106278,P23471,-3.568222173,3.577470029,-5.014453849,3.796057199,-1.096696228,-1.430162056,-0.146852288,-1.771747925,-3.727264656,-4.150240152,-3.43690748,-1.889596044,NA,NA,NA,NA,NA,NA,NA,NA,0.825008358,6.879603314,-1.586827488,6.169046393,-1.00725989,2.765897362,0.58226169,0.448521667,-2.572584777,-1.512574873,-3.782905589,0.984912547,1.776810158,-1.190147355,-1.531518692,-2.694277969,1.379602552,1.037628028,1.39805377,-2.913507265
ENSMUSG00000014846,Q9CRB6,ENSG00000159713,Q9BW30,-0.703607035,1.168278824,-0.227060972,0.833119853,1.084080328,-1.944403317,0.857952941,0.412788479,-3.034997022,-0.139037602,-3.357653277,2.89642842,0.663441778,-0.785423194,1.144069231,-3.410880379,1.090484019,0.800593064,-2.023046694,1.497720019,0.117944561,-1.017403989,-0.536863896,1.374038585,0.625712067,-1.970910609,3.373217984,0.650040837,-2.103395889,0.689280668,-5.522323485,3.62560799,1.250027489,1.661089791,0.466891229,-1.869995368,2.376054719,1.951715859,-1.901118443,3.312654207
ENSMUSG00000027602,Q91VR7,ENSG00000101460,Q9H492,-1.147449138,4.189741515,-1.133747922,2.203134465,-1.452712361,-0.648849895,0.161868207,NA,-2.457145359,-2.615475482,-3.311605266,-1.677453629,-0.909483255,-0.700045637,NA,-1.349976804,-0.241106315,-1.013526236,-3.131970481,0.338595687,3.923527418,-0.899763212,0.77843108,-0.087122699,1.056841892,-3.724433132,3.270487119,2.449418519,-0.152094359,-1.359429693,-0.187738559,0.780948728,1.207147444,2.38890176,1.575961692,-1.52586409,2.2503615,0.39673472,-0.954354981,2.484981974
ENSMUSG00000026520,Q3TMZ1,NA,NA,-0.181696714,0.147725183,-0.536858959,0.056124624,0.756848246,0.725630294,1.166654256,-1.276465302,-1.153963059,0.341049204,-3.173485591,0.203354468,0.163017242,3.105634153,-0.784504591,-0.438301334,0.59201371,-0.345436566,0.372831716,0.863825501,1.655521818,-1.709850652,-0.836547953,-0.410421542,0.74666627,-0.377873353,0.330979571,-0.666999298,-0.556285185,0.232458493,-1.135719546,0.285668591,1.090985344,1.893548957,-0.171260262,1.163804856,1.630497897,0.278208789,1.297103059,1.145051468
ENSMUSG00000009394,Q64332,NA,NA,-2.263034318,3.942769651,-2.623211838,3.732909559,-1.727370345,-5.578832277,-1.375718673,-1.082304545,-3.124233006,-3.508823247,-3.130666132,-3.760839181,-3.38386058,-3.06240687,-1.39295866,-3.99653133,-1.589983943,-3.762889651,-2.630384305,-3.144095375,1.877654092,4.825165645,-0.5249375,4.344576612,-0.02787786,-1.82693599,0.023175554,0.031544971,0.338252053,-1.279035739,-6.69954407,0.588400356,0.827574888,1.440617115,-2.343687907,-3.788237797,0.255089074,0.092131489,-2.449318472,-2.649194872
ENSMUSG00000069516,P08905,NA,NA,-1.400784719,NA,NA,NA,NA,NA,-1.472755151,-1.279398987,2.458714197,NA,-2.852221194,NA,-1.125533031,NA,NA,1.416070455,NA,0.568217552,NA,0.071395758,-0.043463325,-6.015418139,0.811962619,-3.750125839,1.103366247,-7.0433496,3.648382586,1.58778354,-0.203803891,3.148267985,-0.346660498,5.74961235,0.881505402,4.934558589,-1.453961998,3.863689049,-0.045935086,2.509159952,2.018583068,5.268806361
ENSMUSG00000022048,O08553,ENSG00000092964,Q16555,-0.703085217,3.219391839,-1.104304728,2.451238779,-0.756452593,0.446798887,1.0236288,-0.311327704,-1.669022221,-1.361375822,-2.729514692,1.658365563,-1.612458163,-2.309254373,-0.746112565,-1.028623254,-1.188266257,-0.854857757,-1.076124058,-1.065768515,0.164050383,3.5932926,0.100105028,2.300118091,-0.442890023,2.690192877,0.880506582,0.498148041,-0.828265732,-0.37442492,-2.222606511,2.525890873,-0.321295485,1.009189109,-0.344422062,0.113707551,-0.343232454,0.35068037,0.057335579,-0.093930309
ENSMUSG00000045954,Q63918,ENSG00000168497,O95810,0.168209553,-2.092631773,2.112957826,-3.707922286,-0.259610204,-5.786160786,-1.210152279,3.14540049,-0.816569844,-2.827899215,-2.725442122,3.466075187,-0.664282274,-0.230360968,1.050658278,-0.703855932,0.552070346,3.029665135,-1.882645526,0.076753632,0.485278407,-2.148130499,2.642566667,-2.26047105,-0.628320231,-1.240070019,-0.626767683,2.245471508,-0.057013967,-0.289132012,-0.828963992,3.711476528,0.650735336,-0.563849063,1.123658291,0.683720703,0.399694146,2.838480792,-1.783687152,0.767077593
ENSMUSG00000030086,E9Q4M4,ENSG00000159685,Q9BRQ6,0.928295561,3.482069639,2.344451706,1.571083427,NA,NA,-0.565890014,0.593275272,1.452274581,-1.804222008,-2.49727016,NA,NA,-0.680736392,NA,NA,NA,0.871041949,-1.249889846,-0.299634319,1.006164381,0.75292879,1.924738436,0.941267191,-0.89161852,-0.800301141,1.534929615,0.036255316,1.325295627,-0.735786768,-1.118834502,0.391570897,0.459930798,0.127817342,-1.007756222,-1.074036383,-0.210175478,1.474617146,0.151420999,-4.337451248
ENSMUSG00000038619,P60840,ENSG00000143420,O43768,-0.152937745,4.279129062,-0.883542499,1.2169118,-1.268212653,-1.929635063,-0.605494959,1.003258885,-1.343842545,-1.78114396,-2.396311574,-0.652557087,-1.59309197,0.506225517,1.50507487,-1.079764201,-0.305645919,-1.192521858,-0.921800207,0.414749441,-0.687108133,2.415108524,1.500846613,1.763961112,-0.217800135,1.126340304,2.252013232,1.102506653,-0.194715492,0.273842213,-0.424007684,0.042470453,-1.394642542,1.191527976,3.189532813,0.268711158,-1.089848705,-0.088685012,0.171252651,2.143103124
ENSMUSG00000002844,P54923,ENSG00000144843,P54922,0.120910333,1.710258843,-0.066257491,0.281338436,-0.560541158,1.274884281,1.126897668,0.792496441,-0.564058231,-0.603402769,-2.329686395,-0.036485942,0.701123859,-0.903803955,0.89266448,0.518965609,-0.143987843,0.491849113,1.252853565,2.132052333,1.389578296,-0.284573758,-1.046094734,0.382421456,0.390216747,-0.298105088,0.414345047,0.030322179,-0.891184564,-0.621001331,-1.886550454,-0.036792952,1.001876864,0.748986591,0.097086819,0.761270045,0.427646439,0.015939928,0.447278373,1.247806605
ENSMUSG00000031839,Q9CQZ1,ENSG00000230989,O75506,-0.622387615,3.000116645,-0.02332819,0.501267898,-0.847388749,NA,NA,0.29998671,NA,-1.976719237,-2.274382698,-0.285962698,NA,1.384021364,NA,-0.448105737,1.716353177,-0.957483872,-0.300977542,0.814343837,-1.355878428,0.964025778,1.186297019,0.752695065,-1.263988571,-0.125833432,1.608451678,0.650500726,0.569150267,-0.134394699,0.144149461,-0.085484566,-0.379627594,1.604275169,1.326868033,-0.75176829,-1.440773408,0.183761741,-0.636418272,2.853175329
ENSMUSG00000025092,Q8K0U4,ENSG00000165868,O43301,0.284646384,2.155626039,-0.600012209,3.101332056,-0.883878354,-0.536493661,1.113681974,-2.214456463,0.505767765,-2.522973676,-2.211383735,-0.294436231,-0.171242088,-2.396745097,-2.037645671,-0.713804225,-1.793753009,1.411657249,-2.564201811,-1.627512618,1.154432408,3.010414828,1.022701639,2.232575978,-1.501754801,0.777531756,0.511691637,0.214823253,0.458045264,0.262745089,-3.373007043,-0.365064512,0.447746604,-0.740694894,-1.659449148,-1.795448781,-1.816462236,1.755544851,-3.251709415,-3.272439643
ENSMUSG00000047714,Q9DCL8,ENSG00000184203,P41236,-0.013675078,2.773826909,-0.045352473,0.311126335,-0.446802164,-2.794873984,-0.122249875,2.074394154,-0.151113112,-0.502607118,-2.204837713,0.699862971,-0.643545589,0.181887604,2.851774773,-0.975229884,1.284032387,-0.325795635,0.031080213,1.44946679,2.349147741,-2.156241403,-0.513021083,-0.271914241,2.155720025,-3.867790048,-1.019549382,0.514271399,0.015208014,-0.488564313,-0.131051469,1.784256434,0.891164222,-0.174607893,-1.1595756,0.897506603,2.009764502,-0.045257384,0.024882696,0.555538054
ENSMUSG00000032336,P97300,ENSG00000156642,Q9Y639,-0.932508275,2.55884975,NA,3.741982884,-0.526657866,-1.299530829,0.12233966,-0.189325983,-0.496385274,-0.698216037,-2.156488863,-0.013667819,-0.034634738,-2.101214278,NA,-1.539025695,0.831567949,-0.686041715,-1.508204825,-0.084532254,-0.069149481,2.491490292,0.225746993,2.033814621,0.175854123,-0.880338418,1.938333905,0.020302223,-0.02164623,-0.269993041,-0.79924295,0.052884358,-0.675111158,0.779518706,1.192157546,-0.189039929,0.257206509,0.118917405,-0.9880922,2.931211447
ENSMUSG00000024525,Q3U3B7,ENSG00000141401,O14732,-1.026595738,-2.103388982,2.462591424,NA,-0.585190489,-0.591828006,-1.497179217,0.809300198,0.045193147,-0.190934692,-2.156029867,-2.157774647,-1.190584467,NA,NA,-0.384331647,-0.216222392,-1.087757027,1.11718373,-0.507168335,0.083258255,-1.482030506,2.312691013,-0.773420238,0.696938645,-0.344696309,-1.962893282,1.171342896,0.412792904,0.593628493,-1.052957792,-1.012500613,-0.045065552,-2.347465715,-1.051015371,0.190778146,1.406006484,0.02376239,1.485811061,-1.060040224
ENSMUSG00000050148,Q9QZM0,ENSG00000188021,Q9UHD9,0.104567905,3.628674945,-1.492042793,1.313823968,-0.10014669,1.070897411,-0.10501697,0.733372965,-0.22231431,-0.982239332,-2.014672929,-0.369555,-0.142920259,0.676402341,-0.42756684,-0.361823423,1.167848295,-0.159363543,0.547689886,2.043997666,2.130174786,1.709069513,-2.098318915,0.973171042,0.040252437,0.75204052,0.271265313,-0.408639104,-0.348636464,-1.194088156,-0.518156273,0.161487674,0.848279965,1.404993905,0.06694217,-0.894707538,0.848750814,-0.201807074,0.229879476,0.156255734
ENSMUSG00000069917,Q91VB8,NA,NA,-0.27724722,0.23481321,0.151696751,-0.259455579,-3.317955162,0.089778851,-1.44214176,4.56794282,-1.225511095,-4.078215446,-1.9235199,2.515419742,-1.323364996,-1.116378401,-0.168501237,2.384137633,-2.078490376,-0.084971322,0.251080252,-1.162957374,2.136642262,-9.229717571,-2.768073459,-0.524831983,2.36482658,-12.74104055,4.05767118,7.413029512,2.775977736,-2.077347635,1.50036493,5.004381577,0.115132598,6.092065738,-7.993349866,8.293377254,-0.213250928,1.127129327,1.682365796,8.829835595
ENSMUSG00000032353,Q78IS1,ENSG00000166557,Q9Y3Q3,-0.631925588,NA,NA,-3.472632859,1.489597343,NA,NA,NA,-2.125443232,1.396487203,-1.871077877,NA,0.639882219,2.218360291,NA,-1.22539094,0.278282677,-0.131351636,-1.552997446,1.111727688,0.819475083,-1.362759012,-0.711835271,-1.425723522,0.90453702,-1.877013306,0.758783399,-0.2246818,0.329513521,0.881108246,0.086433834,0.43812612,1.186275503,3.030900233,-0.371961808,0.082271696,1.675798155,0.947233701,-0.917306744,2.299568154
ENSMUSG00000025410,Q3TPZ5,ENSG00000175203,Q13561,-0.312235202,3.20865,-0.138378557,0.806645012,-0.596816448,-0.735229205,0.330513513,1.662158408,0.262448364,-0.213975695,-1.867871369,0.316237109,-0.916795119,1.024246044,1.218226554,-0.855256463,1.15008633,0.253967892,-0.052203866,1.357881543,0.7288564,-0.257089304,-0.864200767,-0.004012278,0.792609452,-1.132911917,2.040745966,-0.043940157,-0.182997894,0.065464921,0.326017115,-0.33598869,0.067635014,1.476353627,0.07539941,-0.312817185,0.695493057,0.124887502,-0.424515016,2.234600888
ENSMUSG00000024855,Q8K212,ENSG00000175115,Q6VY07,-0.549640818,3.190821093,-0.480013742,2.116356344,-0.489915312,0.934523563,0.541672425,-0.546269064,-0.397640326,-1.395509793,-1.85056018,1.005820056,0.561189368,0.683463748,5.922656407,0.542710784,-0.73484115,-0.42615505,-0.313127956,-0.372576612,1.289537383,0.155167204,-1.905216178,-0.482970119,-0.450457692,0.436782266,-0.68250622,0.833648763,-0.501107885,-1.415383798,-1.935776378,0.904692915,1.32011766,-0.213546651,-1.55584608,1.741745804,0.276378133,0.211937496,1.348005058,-1.582841792
ENSMUSG00000024610,P04441,ENSG00000019582,P04233,-1.211729658,-3.78600833,-2.58558176,-3.637339606,-1.420005553,NA,-2.130350994,-1.123809556,-1.142226631,-1.757649796,-1.831968611,0.739053779,-0.651761751,NA,NA,2.454415999,-0.223798429,-0.773741409,1.699244509,NA,0.187195505,-6.500350793,-1.044152463,-7.137548209,2.420898863,-7.259668778,3.68587234,-0.24490508,0.023536287,3.326747288,-0.943523189,1.967210903,0.382329944,7.03576506,-2.000828703,4.492741569,0.196200023,0.964035244,2.339695025,3.494951425
ENSMUSG00000026355,P97311,ENSG00000076003,Q14566,-0.91916182,-0.930389103,-3.08261665,-3.671616122,-0.000957381,2.216919092,-1.902204942,-1.810520702,-2.725295591,0.752021305,-1.744696759,-1.264315834,0.093516023,NA,-0.614902815,1.171533865,-1.467651101,NA,3.573284751,-0.263704997,-0.118566956,0.069683355,-1.947649393,-1.526385015,0.621332237,3.755005084,-0.8150242,-0.621907717,-0.039858214,1.944476485,-1.089083277,0.170858998,0.932012424,0.247703982,-1.602121362,1.782352858,-0.181366053,0.739868784,3.162823396,1.607189073
ENSMUSG00000026576,P14094,ENSG00000143153,P05026,-3.172771067,-0.455420735,-3.276239872,1.665419203,-0.903027413,NA,-0.399386766,-0.283664043,1.143766646,0.523591496,-1.718441458,-3.741984528,-3.118828939,-4.125558765,-0.433103684,-5.37528986,-3.023797592,-2.454513335,-2.766707977,-2.881066358,-1.068928191,4.050412944,-1.474986627,4.212198574,4.390890813,-1.121805156,4.902868684,2.019824442,4.42532041,3.111728414,0.051687007,1.553666048,-0.901556431,4.264327915,1.628885484,-1.386114629,2.742817354,-1.69010748,-0.32288241,3.480023423
ENSMUSG00000025037,Q64133,ENSG00000189221,P21397,-0.616394467,-2.640804827,-1.231694972,-0.200053157,-1.344004395,-2.259635068,-1.950338135,-1.247026585,-1.798869003,2.433358466,-1.676052497,-0.819301414,-0.5834857,-1.378938044,-0.436399243,-2.986253092,-3.006061499,-0.747307276,-2.943865897,-1.646805537,-1.142425332,2.037478619,1.786392972,1.75152285,2.903512307,1.609296875,-1.345121177,-1.556465697,0.108112621,4.207018439,-0.493639184,0.871341376,-1.325342545,-0.674332813,1.196648606,-2.850878456,-2.469425133,0.872886556,-2.211854233,0.75254151
ENSMUSG00000042684,Q9DCJ9,ENSG00000135838,Q9BXD5,-2.764513562,-0.085683523,-3.089322024,-1.953182798,-1.905111062,-1.54506011,3.147177387,-1.110944466,2.426144977,-1.831216941,-1.668871981,-2.179038601,-0.07079491,-3.141456912,-0.47440772,-0.182405774,-0.692023649,-1.301033911,0.078892121,0.903550496,-3.488793621,0.521399807,-0.505783218,-0.187329645,1.208190514,1.175470138,-0.149125592,-1.963680395,4.074273229,1.509559567,-1.848486232,-1.019516838,0.091213179,-4.029786105,0.96680155,0.267467373,-1.98255177,1.003526392,0.599464209,-1.862271896
ENSMUSG00000021748,Q9D051,ENSG00000168291,P11177,0.047870175,0.175672538,2.485206602,0.063671042,-2.106037785,-3.872103658,-0.396728346,2.753131159,0.244534859,-1.77328681,-1.668743744,-2.19228653,-2.751923198,-1.388512546,1.245295188,-3.21054542,-0.554330325,0.30761691,-1.340529955,-1.981206381,0.419701474,-1.000873317,5.787894995,1.594032351,-0.37127149,-2.271892733,3.150558018,3.157046019,1.117589576,0.075845885,1.052759232,-0.568562982,-0.958314753,3.245404709,0.924882931,-1.051747906,-0.527595489,1.610142378,0.173481072,4.155130578
ENSMUSG00000028167,G3UWD3,ENSG00000164039,Q9BUT1,-2.350677728,-2.94802281,NA,NA,-3.130318534,NA,-0.64418619,-1.248346575,2.511149842,-4.502557669,-1.668400862,NA,NA,-2.230689616,-0.826367225,-4.801576924,NA,-2.545174971,-2.687631486,-0.910331081,-1.627420759,0.763966713,-0.203837764,0.505751179,-1.070526395,0.958784203,3.25270588,0.207020526,7.162936025,-0.453548553,4.042783748,-0.329592897,1.237666553,-2.40088435,0.819762172,-2.896250746,-0.458213895,1.912986189,-1.930136723,1.748980549
ENSMUSG00000032202,Q544U7,ENSG00000069974,P51159,1.044505285,1.0612454,-0.417648486,-1.253853659,1.903098946,NA,0.194470547,NA,NA,0.110722711,-1.66672793,0.98814015,0.069773937,0.451228426,NA,NA,NA,NA,0.513167957,NA,-0.073112594,-0.423128205,-1.854644029,0.640588838,0.488120706,-0.185145696,0.515772835,-0.569316621,1.074543856,1.4577978,-1.462619921,2.426285391,0.620428463,2.395730295,-1.363539173,1.204858925,2.864928583,-0.099997639,1.950364201,0.078712692
ENSMUSG00000046841,Q8BMK4,ENSG00000136026,Q07065,-0.053666125,-0.519976296,-1.140376491,-0.414764179,1.72339399,0.521541134,1.047862137,1.287910241,-1.300996685,0.867693766,-1.662817923,0.51252281,1.750931579,-0.234423259,-0.727670233,-0.401401122,1.106366712,0.28712715,-0.405680544,2.903993404,0.727161423,-0.412810515,-2.53700617,-0.661928862,0.259609151,1.431726122,0.368001002,0.334064206,-1.430234575,-0.048176172,-2.595167505,0.353596309,2.722232886,-0.790130852,-1.089806721,0.262052229,1.801156878,0.45931018,-1.421044592,-0.350916713
ENSMUSG00000034330,Q8CIH5,ENSG00000197943,P16885,-1.327498399,-3.410903718,NA,-1.858574049,-0.623081542,-1.367990119,-0.760614142,-1.119071151,-0.241145893,-0.198736947,-1.654749564,0.65737573,0.019117862,-2.360334272,NA,1.653026234,-1.455578201,-0.716871128,-0.329098533,-0.319404846,0.045720531,-1.375131023,-2.148557455,-1.952094407,1.725739279,0.039956045,-3.297652768,0.563470369,1.154279279,1.773541401,-1.906297969,1.115519571,-0.047217018,0.798858797,-1.854309929,4.307021837,0.878805419,-0.138860106,0.721348558,-1.208462638
